lat,lon,CSF_selected,Cost_selected
34.5,-9.5,,inf
34.5,-8.5,,inf
34.5,-7.5,,inf
34.5,-6.5,BAUpRESIDUAL,-66362446000.0
34.5,-5.5,FM5pRESIDUAL,-21967364000.0
34.5,-4.5,BAUnTHININT,-88854360000.0
34.5,-3.5,FM5pDIACUT,-17266332000.0
34.5,-2.5,BAUpRESIDUAL,-22150670000.0
34.5,-1.5,BAUpDIACUT,-28517030000.0
34.5,-0.5,BAUpDIACUT,-24820675000.0
34.5,0.5,BAUpRESIDUAL,-5443448000.0
34.5,1.5,BAUpRESIDUAL,-2217215700.0
34.5,2.5,BAUpRESIDUAL,-2493471700.0
34.5,3.5,BAUpRESIDUAL,-2208831700.0
34.5,4.5,BAUpRESIDUAL,-108441864.0
34.5,5.5,BAUpRESIDUAL,-132892800.0
34.5,6.5,BAUpTHININT,-305177380.0
34.5,7.5,BAU,0.0
34.5,8.5,BAU,0.0
34.5,9.5,BAU,-127482110.0
34.5,10.5,,inf
34.5,11.5,,inf
34.5,12.5,,inf
34.5,13.5,,inf
34.5,14.5,,inf
34.5,15.5,,inf
34.5,16.5,,inf
34.5,17.5,,inf
34.5,18.5,,inf
34.5,19.5,,inf
34.5,20.5,,inf
34.5,21.5,,inf
34.5,22.5,,inf
34.5,23.5,,inf
34.5,24.5,,inf
34.5,25.5,,inf
34.5,26.5,,inf
34.5,27.5,,inf
34.5,28.5,,inf
34.5,29.5,,inf
34.5,30.5,,inf
34.5,31.5,,inf
34.5,32.5,,inf
35.5,-9.5,,inf
35.5,-8.5,,inf
35.5,-7.5,,inf
35.5,-6.5,,inf
35.5,-5.5,FM5pDIACUT,-173828130000.0
35.5,-4.5,,inf
35.5,-3.5,,inf
35.5,-2.5,,inf
35.5,-1.5,,inf
35.5,-0.5,BAUpRESIDUAL,-32243722000.0
35.5,0.5,BAUpRESIDUAL,-17078346000.0
35.5,1.5,BAUpRESIDUAL,-36303196000.0
35.5,2.5,FM5ppRESIDUAL,-10612559000.0
35.5,3.5,BAUpDIACUT,-2983863300.0
35.5,4.5,BAUnDIACUT,-3134823400.0
35.5,5.5,BAUpRESIDUAL,-11321113000.0
35.5,6.5,BAUppRESIDUAL,-51003683000.0
35.5,7.5,FM5pRESIDUAL,-7110162000.0
35.5,8.5,FM5pRESIDUAL,-24124078000.0
35.5,9.5,BAUpTHININT,-5149001700.0
35.5,10.5,FM5ppRESIDUAL,-382838080.0
35.5,11.5,,inf
35.5,12.5,,inf
35.5,13.5,,inf
35.5,14.5,,inf
35.5,15.5,,inf
35.5,16.5,,inf
35.5,17.5,,inf
35.5,18.5,,inf
35.5,19.5,,inf
35.5,20.5,,inf
35.5,21.5,,inf
35.5,22.5,,inf
35.5,23.5,,inf
35.5,24.5,,inf
35.5,25.5,,inf
35.5,26.5,,inf
35.5,27.5,,inf
35.5,28.5,,inf
35.5,29.5,,inf
35.5,30.5,,inf
35.5,31.5,,inf
35.5,32.5,,inf
36.5,-9.5,,inf
36.5,-8.5,,inf
36.5,-7.5,,inf
36.5,-6.5,,inf
36.5,-5.5,BAUpDIACUT,-62576630000.0
36.5,-4.5,,inf
36.5,-3.5,,inf
36.5,-2.5,,inf
36.5,-1.5,,inf
36.5,-0.5,,inf
36.5,0.5,,inf
36.5,1.5,BAUpDIACUT,-111649440000.0
36.5,2.5,BAUpRESIDUAL,-125519266000.0
36.5,3.5,FM5pDIACUT,-113760380000.0
36.5,4.5,FM5pDIACUT,-193824850000.0
36.5,5.5,FM5pRESIDUAL,-89636280000.0
36.5,6.5,BAUppRESIDUAL,-66396504000.0
36.5,7.5,BAUpRESIDUAL,-80311620000.0
36.5,8.5,BAUpDIACUT,-117117410000.0
36.5,9.5,BAUpRESIDUAL,-18461837000.0
36.5,10.5,BAUnDIACUT,-24639826000.0
36.5,11.5,,inf
36.5,12.5,,inf
