lat,lon,CSF_selected,Cost_selected
34.5,-9.5,,inf
34.5,-8.5,,inf
34.5,-7.5,,inf
34.5,-6.5,BAUpN,-51834095666.666664
34.5,-5.5,BAUpN,-19845495666.666668
34.5,-4.5,BAUpRESIDUAL,-79971628000.0
34.5,-3.5,BAUpRESIDUAL,-14033523000.0
34.5,-2.5,BAUpRESIDUAL,-16863294000.0
34.5,-1.5,BAUpN,-18791264000.0
34.5,-0.5,FM5pDIACUT,-15034673333.333334
34.5,0.5,FM5pDIACUT,-4202061900.0
34.5,1.5,BAUpRESIDUAL,-1732596666.6666667
34.5,2.5,BAUpRESIDUAL,-1983399433.3333333
34.5,3.5,BAUppRESIDUAL,-1778811700.0
34.5,4.5,BAUpN,-83524850.0
34.5,5.5,FM5pRESIDUAL,-146034746.66666666
34.5,6.5,FM5pN,-312190173.3333333
34.5,7.5,BAU,0.0
34.5,8.5,BAU,0.0
34.5,9.5,FM5pRESIDUAL,-115508386.66666667
34.5,10.5,,inf
34.5,11.5,,inf
34.5,12.5,,inf
34.5,13.5,,inf
34.5,14.5,,inf
34.5,15.5,,inf
34.5,16.5,,inf
34.5,17.5,,inf
34.5,18.5,,inf
34.5,19.5,,inf
34.5,20.5,,inf
34.5,21.5,,inf
34.5,22.5,,inf
34.5,23.5,,inf
34.5,24.5,,inf
34.5,25.5,,inf
34.5,26.5,,inf
34.5,27.5,,inf
34.5,28.5,,inf
34.5,29.5,,inf
34.5,30.5,,inf
34.5,31.5,,inf
34.5,32.5,,inf
35.5,-9.5,,inf
35.5,-8.5,,inf
35.5,-7.5,,inf
35.5,-6.5,,inf
35.5,-5.5,FM5pDIACUT,-160592490000.0
35.5,-4.5,,inf
35.5,-3.5,,inf
35.5,-2.5,,inf
35.5,-1.5,,inf
35.5,-0.5,BAUpRESIDUAL,-25702615666.666668
35.5,0.5,BAUppRESIDUAL,-10439053433.333334
35.5,1.5,BAUpRESIDUAL,-29193901333.333332
35.5,2.5,BAUpN,-8120651666.666667
35.5,3.5,BAUpN,-1960371433.3333333
35.5,4.5,BAUpRESIDUAL,-2510095866.6666665
35.5,5.5,BAUppRESIDUAL,-8038257166.666667
35.5,6.5,BAUpRESIDUAL,-35743223666.666664
35.5,7.5,FM5nDIACUT,-5534649000.0
35.5,8.5,BAUpN,-22343220000.0
35.5,9.5,BAUpTHININT,-4369996533.333333
35.5,10.5,FM5pN,-374070406.6666667
35.5,11.5,,inf
35.5,12.5,,inf
35.5,13.5,,inf
35.5,14.5,,inf
35.5,15.5,,inf
35.5,16.5,,inf
35.5,17.5,,inf
35.5,18.5,,inf
35.5,19.5,,inf
35.5,20.5,,inf
35.5,21.5,,inf
35.5,22.5,,inf
35.5,23.5,,inf
35.5,24.5,,inf
35.5,25.5,,inf
35.5,26.5,,inf
35.5,27.5,,inf
35.5,28.5,,inf
35.5,29.5,,inf
35.5,30.5,,inf
35.5,31.5,,inf
35.5,32.5,,inf
36.5,-9.5,,inf
36.5,-8.5,,inf
36.5,-7.5,,inf
36.5,-6.5,,inf
36.5,-5.5,BAUpDIACUT,-59275208666.666664
36.5,-4.5,,inf
36.5,-3.5,,inf
36.5,-2.5,,inf
36.5,-1.5,,inf
36.5,-0.5,,inf
36.5,0.5,,inf
36.5,1.5,BAUpTHININT,-86654020000.0
36.5,2.5,BAUpRESIDUAL,-90863615333.33333
36.5,3.5,BAUpN,-103403053333.33333
36.5,4.5,FM5pDIACUT,-187721080000.0
36.5,5.5,FM5pRESIDUAL,-86725863333.33333
36.5,6.5,BAUppRESIDUAL,-66119408333.333336
36.5,7.5,BAUpRESIDUAL,-70962580000.0
36.5,8.5,FM5pN,-101212636666.66667
36.5,9.5,BAUpN,-16312192666.666666
36.5,10.5,BAUpN,-20012584666.666668
36.5,11.5,,inf
36.5,12.5,,inf
36.5,13.5,,inf
36.5,14.5,,inf
