zone_id,top1_csf,top1_count,top2_csf,top2_count,top3_csf,top3_count,top1_pct,top2_pct,top3_pct
ALN,BAUnTHININT,23,BAUnnSALVAGE,16,BAUpTHININT,7,50.0,34.78260869565217,15.217391304347828
BOR,BAUnnSALVAGE,59,BAUnTHININT,42,BAUpTHININT,19,49.166666666666664,35.0,15.833333333333332
NEM,BAUpTHININT,22,BAUnTHININT,17,BAUnnSALVAGE,15,40.74074074074074,31.48148148148148,27.77777777777778
ATN,BAUnnSALVAGE,16,BAUpTHININT,9,BAUnDIACUT,4,55.172413793103445,31.03448275862069,13.793103448275861
ALS,BAUpTHININT,14,BAUnnSALVAGE,9,BAUnTHININT,6,48.275862068965516,31.03448275862069,20.689655172413794
CON,BAUpTHININT,80,BAUnnSALVAGE,31,BAU,12,65.04065040650406,25.203252032520325,9.75609756097561
ATC,BAUpTHININT,42,BAUnnSALVAGE,12,BAUnDIACUT,4,72.41379310344827,20.689655172413794,6.896551724137931
PAN,BAUpTHININT,16,BAUnnSALVAGE,12,BAUnTHININT,5,48.484848484848484,36.36363636363637,15.151515151515152
LUS,BAUpTHININT,18,BAUnnSALVAGE,3,BAUpN,1,81.81818181818183,13.636363636363635,4.545454545454546
ANA,BAUnnSALVAGE,2,BAUnTHININT,1,BAUpN,1,50.0,25.0,25.0
MDM,BAUpTHININT,20,BAUnnSALVAGE,8,BAUnTHININT,7,57.14285714285714,22.857142857142858,20.0
MDN,BAUpTHININT,22,BAUnnSALVAGE,9,FM1,5,61.111111111111114,25.0,13.88888888888889
MDS,FM1,20,BAUpTHININT,15,BAU,6,48.78048780487805,36.58536585365854,14.634146341463413
